Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
29,2003,NBA,1,5,MIA,Dwyane Wade,21.165,G,us,Marquette University,2004,2018,982,34.5,22.5,4.7,5.5,1.6,0.9,0.483,0.504,0.287,0.767,118.3,0.168
30,2001,NBA,1,5,GSW,Jason Richardson,20.163,G,us,Michigan State University,2002,2015,857,34.1,17.1,5,2.7,1.2,0.4,0.438,0.474,0.37,0.707,59.1,0.097
31,2000,NBA,1,5,ORL,Mike Miller,20.135,F-G,us,University of Florida,2001,2017,1032,26.9,10.6,4.2,2.6,0.6,0.2,0.459,0.502,0.407,0.769,60.7,0.105
32,2012,NBA,1,6,POR,Damian Lillard,21.354,G,us,Weber State University,2013,2018,469,36.4,23.1,4.1,6.2,0.9,0.3,0.432,0.477,0.368,0.884,58.2,0.164
33,2001,NBA,1,6,MEM,Shane Battier,22.297,F,us,Duke University,2002,2014,977,30.7,8.6,4.2,1.8,1,0.9,0.437,0.486,0.384,0.743,75.7,0.121
34,1999,NBA,1,6,MIN,Wally Szczerbiak,22.122,F,es,Miami University,2000,2009,651,30.8,14.1,4,2.4,0.6,0.2,0.485,0.505,0.406,0.86,53.3,0.127
35,2010,NBA,1,7,DET,Greg Monroe,20.025,C-F,us,Georgetown University,2011,2018,589,28.9,13.7,8.6,2.3,1.1,0.6,0.515,0.516,0,0.707,48.6,0.137
36,2009,NBA,1,7,GSW,Stephen Curry,21.108,G,us,Davidson College,2010,2018,625,34.4,23.1,4.4,6.8,1.8,0.2,0.477,0.513,0.436,0.903,93.3,0.208
37,2004,NBA,1,7,PHO,Luol Deng,19.074,F,ss,Duke University,2005,2018,880,34.7,15,6.1,2.3,1,0.5,0.455,0.481,0.332,0.77,73.2,0.115
38,2003,NBA,1,7,CHI,Kirk Hinrich,22.18,G,us,University of Kansas,2004,2016,879,30.7,10.9,2.9,4.8,1.1,0.3,0.411,0.432,0.375,0.8,52.5,0.093
39,2002,NBA,1,7,NYK,Nene Hilario,19.291,F-C,br,,2003,2018,923,26.8,11.7,6.2,1.8,1.1,0.8,0.548,0.551,0.14,0.66,71.9,0.14
40,1999,NBA,1,7,WAS,Richard Hamilton,21.141,G-F,us,University of Connecticut,2000,2013,921,32.1,17.1,3.1,3.4,0.8,0.1,0.449,0.463,0.346,0.852,62.8,0.102
41,2006,NBA,1,8,HOU,Rudy Gay,19.32,F,us,University of Connecticut,2007,2018,810,34.6,17.9,5.9,2.2,1.3,0.8,0.453,0.48,0.343,0.795,50.5,0.086
42,2000,NBA,1,8,CLE,Jamal Crawford,20.105,G,us,University of Michigan,2001,2018,1262,29.9,15,2.3,3.4,0.9,0.2,0.41,0.449,0.349,0.862,60.5,0.077
43,1999,NBA,1,8,CLE,Andre Miller,23.108,G,us,University of Utah,2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,0.461,0.478,0.217,0.807,100.8,0.12
44,2009,NBA,1,9,TOR,DeMar DeRozan,19.327,G-F,us,University of Southern California,2010,2018,675,34.1,19.7,4.1,3.1,1,0.3,0.448,0.467,0.289,0.827,54,0.113
45,2007,NBA,1,9,CHI,Joakim Noah,22.128,C,us,University of Florida,2008,2018,625,28.6,8.9,9.3,2.9,0.8,1.3,0.49,0.492,0,0.699,59.6,0.16
46,2004,NBA,1,9,PHI,Andre Iguodala,20.153,G-F,us,University of Arizona,2005,2018,1040,34.1,12.6,5.2,4.4,1.5,0.5,0.465,0.516,0.333,0.713,92.1,0.125
47,2002,NBA,1,9,PHO,Amar'e Stoudemire,19.227,F-C,us,,2003,2016,846,31,18.9,7.8,1.2,0.8,1.2,0.537,0.54,0.236,0.761,92.5,0.169
48,1999,NBA,1,9,PHO,Shawn Marion,21.059,F,us,University of Nevada Las Vegas,2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,0.484,0.513,0.331,0.81,124.9,0.15
49,2010,NBA,1,10,IND,Paul George,20.058,F,us,California State University Fresno,2011,2018,527,33.4,18.6,6.2,3.2,1.7,0.4,0.432,0.468,0.376,0.844,53.4,0.146
50,2008,NBA,1,10,NJN,Brook Lopez,20.091,C,us,Stanford University,2009,2018,636,31.2,17.9,6.8,1.6,0.6,1.7,0.502,0.517,0.335,0.789,53.4,0.129
51,2002,NBA,1,10,MIA,Caron Butler,22.11,F,us,University of Connecticut,2003,2016,881,32.2,14.1,5,2.3,1.3,0.2,0.434,0.456,0.348,0.847,50.9,0.086
