year,round,pick,player
2003,1,20,Jones
2003,1,21,Diaw
2003,1,22,Planini_
2003,1,23,Outlaw
2003,1,24,Cook
2003,1,25,Delfino
2003,1,26,Ebi
2003,1,27,Perkins
2003,1,28,Barbosa
2003,1,29,Howard
2003,2,30,Lampe
2003,2,31,Kapono
2003,2,32,Walton
2003,2,33,Beasley
2003,2,34,Schortsanitis
2003,2,35,Szewczyk
2003,2,36,Austin
2003,2,37,Hansen
2003,2,38,Blake
2003,2,39,Vrane_
2003,2,40,Zimmerman
2003,2,41,Green
2003,2,42,Pachulia
2003,2,43,Bogans
2003,2,44,Badiane
2003,2,45,Bonner
2003,2,46,Be_irovi_
2003,2,47,Williams
2003,2,48,Lang
2003,2,49,Jones
2003,2,50,Morlende
2003,2,51,Korver
2003,2,52,van
2003,2,53,Smith
2003,2,54,Sinanovi_
2003,2,55,Rickert
2003,2,56,Hunter
2003,2,57,Yuyang
2003,2,58,Glyniadakis
2004,1,1,Howard
2004,1,2,Okafor
2004,1,3,Gordon
2004,1,4,Livingston
2004,1,5,Harris
2004,1,6,Childress
2004,1,7,Deng
2004,1,8,Araújo
2004,1,9,Iguodala
2004,1,10,Jackson
2004,1,11,Biedri__
2004,1,12,Swift
2004,1,13,Telfair
2004,1,14,Humphries
2004,1,15,Jefferson
2004,1,16,Snyder
2004,1,17,Smith
2004,1,18,Smith
2004,1,19,Wright
2004,1,20,Nelson
2004,1,21,Podkolzin
2004,1,22,Khryapa
2004,1,23,Monia
2004,1,24,West
2004,1,25,Allen
2004,1,26,Martin
2004,1,27,Vuja_i_
2004,1,28,Udrih
2004,1,29,Harrison
2004,1,,Forfeited
2004,2,30,Varejão
2004,2,31,Vroman
2004,2,32,Ramos
2004,2,33,Chalmers
2004,2,34,Smith
2004,2,35,Emmett
2004,2,36,Burks
2004,2,37,Ivey
2004,2,38,Duhon
2004,2,39,Miralles
2004,2,40,Reed
2004,2,41,Young
2004,2,42,Sanikidze
2004,2,43,Ariza
2004,2,44,Pickett
2004,2,45,Robinson
2004,2,46,Seung-Jin
2004,2,47,Sow
2004,2,48,Minard
2004,2,49,Lishouk
2004,2,50,Spanoulis
2004,2,51,Drejer
2004,2,52,Sato
2004,2,53,Freije
2004,2,54,Paulding
2004,2,55,Flores
2004,2,56,Douthit
2004,2,57,Karaulov
2004,2,58,Stepp
2004,2,59,Wright
2005,1,1,Bogut
2005,1,2,Williams
2005,1,3,Williams
2005,1,4,Paul
2005,1,5,Felton
2005,1,6,Webster
2005,1,7,Villanueva
2005,1,8,Frye
2005,1,9,Diogu
2005,1,10,Bynum
2005,1,11,Vázquez
2005,1,12,Korolev
2005,1,13,May
2005,1,14,McCants
2005,1,15,Wright
2005,1,16,Graham
2005,1,17,Granger
2005,1,18,Green
2005,1,19,Warrick
2005,1,20,Hodge
2005,1,21,Robinson
2005,1,22,Jack
2005,1,23,García
2005,1,24,Head
2005,1,25,Petro
2005,1,26,Maxiell
2005,1,27,Kleiza
2005,1,28,Mahinmi
2005,1,29,Simien
2005,1,30,Lee
2005,2,31,Stoudamire
2005,2,32,Ewing
2005,2,33,Bass
2005,2,34,Miles
2005,2,35,Sánchez
2005,2,36,_lyasova
2005,2,37,Turiaf
2005,2,38,Diener
2005,2,39,Wafer
2005,2,40,Ellis
2005,2,41,Uki_
2005,2,42,Taft
2005,2,43,Ili_
2005,2,44,Andriu_kevi_ius
2005,2,45,Williams
2005,2,46,Lorbek
2005,2,47,Wright
2005,2,48,Gelabale
2005,2,49,Blatche
2005,2,50,Gomes
2005,2,51,Whaley
2005,2,52,Hervelle
2005,2,53,Greene
2005,2,54,Thompson
2005,2,55,Roberts
2005,2,56,Johnson
2005,2,57,Gortat
2005,2,58,Slokar
2005,2,59,Akyol
2005,2,60,Acker
2006,1,1,Bargnani
2006,1,2,Aldridge
2006,1,3,Morrison
2006,1,4,Thomas
2006,1,5,Williams
2006,1,6,Roy
2006,1,7,Foye
2006,1,8,Gay
2006,1,9,O'Bryant
2006,1,10,Sene
2006,1,11,Redick
2006,1,12,Armstrong
2006,1,13,Sefolosha
2006,1,14,Brewer
2006,1,15,Simmons
2006,1,16,Carney
2006,1,17,Williams
2006,1,18,Pecherov
2006,1,19,Douby
2006,1,20,Balkman
2006,1,21,Rondo
2006,1,22,Williams
2006,1,23,Boone
2006,1,24,Lowry
2006,1,25,Brown
2006,1,26,Farmar
2006,1,27,Rodríguez
2006,1,28,Ager
2006,1,29,Collins
2006,1,30,Freeland
2006,2,31,White
2006,2,32,Novak
2006,2,33,Jones
2006,2,34,Davis
2006,2,35,Tucker
2006,2,36,Smith
2006,2,37,Jones
2006,2,38,Perovi_
2006,2,39,Noel
2006,2,40,Brown
2006,2,41,Augustine
2006,2,42,Gibson
2006,2,43,Vinicius
2006,2,44,Eliyahu
2006,2,45,Johnson
2006,2,46,Brown
2006,2,47,Millsap
2006,2,48,Veremeenko
2006,2,49,Powe
2006,2,50,Hollins
2006,2,51,Samb
2006,2,52,Diaz
2006,2,53,Halperin
2006,2,54,Adams
2006,2,55,Ugboaja
2006,2,56,Bav_i_
2006,2,57,Mavrokefalidis
2006,2,58,Pinnock
2006,2,59,Markota
2006,2,60,Blalock
2007,1,1,Oden
2007,1,2,Durant
2007,1,3,Horford
2007,1,4,Conley
2007,1,5,Green
2007,1,6,Yi
2007,1,7,Brewer
2007,1,8,Wright
2007,1,9,Noah
2007,1,10,Hawes
2007,1,11,Law
2007,1,12,Young
2007,1,13,Wright
2007,1,14,Thornton
2007,1,15,Stuckey
2007,1,16,Young
2007,1,17,Williams
2007,1,18,Belinelli
2007,1,19,Crittenton
2007,1,20,Smith
2007,1,21,Cook
2007,1,22,Dudley
2007,1,23,Chandler
2007,1,24,Fernández
2007,1,25,Almond
2007,1,26,Brooks
2007,1,27,Afflalo
2007,1,28,Splitter
2007,1,29,Tucker
2007,1,30,Koponen
2007,2,31,Landry
2007,2,32,Pruitt
2007,2,33,Williams
2007,2,34,Fazekas
2007,2,35,Davis
2007,2,36,Davidson
2007,2,37,McRoberts
2007,2,38,Fesenko
2007,2,39,Bara_
2007,2,40,Sun
2007,2,41,Richard
2007,2,42,Byars
2007,2,43,Haluska
2007,2,44,Terry
2007,2,45,Jordan
2007,2,46,Lasme
2007,2,47,McGuire
2007,2,48,Gasol
2007,2,49,Gray
2007,2,50,Seibutis
2007,2,51,Curry
2007,2,52,Green
2007,2,53,Nichols
2007,2,54,Newley
2007,2,55,Hill
2007,2,56,Sessions
2007,2,57,Mejia
2007,2,58,Printezis
2007,2,59,Strawberry
2007,2,60,Rakovi_
2008,1,1,Rose
2008,1,2,Beasley
2008,1,3,Mayo
2008,1,4,Westbrook
2008,1,5,Love
2008,1,6,Gallinari
2008,1,7,Gordon
2008,1,8,Alexander
2008,1,9,Augustin
2008,1,10,Lopez
2008,1,11,Bayless
2008,1,12,Thompson
2008,1,13,Rush
2008,1,14,Randolph
2008,1,15,Lopez
2008,1,16,Speights
2008,1,17,Hibbert
2008,1,18,McGee
2008,1,19,Hickson
2008,1,20,Ajinça
2008,1,21,Anderson
2008,1,22,Lee
2008,1,23,Koufos
2008,1,24,Ibaka
2008,1,25,Batum
2008,1,26,Hill
2008,1,27,Arthur
2008,1,28,Greene
2008,1,29,White
2008,1,30,Giddens
2008,2,31,Pekovi_
2008,2,32,Sharpe
2008,2,33,Dorsey
2008,2,34,Chalmers
2008,2,35,Jordan
2008,2,36,A_ık
2008,2,37,Mbah
2008,2,38,Weaver
2008,2,39,Weems
2008,2,40,Douglas-Roberts
2008,2,41,Jawai
2008,2,42,Singletary
2008,2,43,Ewing
2008,2,44,Tomi_
2008,2,45,Dragi_
2008,2,46,Plaisted
2008,2,47,Walker
2008,2,48,Hairston
2008,2,49,Hendrix
2008,2,50,Hardin
2008,2,51,Foster
2008,2,52,Jackson
2008,2,53,Dragi_evi_
2008,2,54,Leunen
2008,2,55,Taylor
2008,2,56,Kaun
2008,2,57,Gist
2008,2,58,Crawford
2008,2,59,Washington
2008,2,60,Erden
2009,1,1,Griffin
2009,1,2,Thabeet
2009,1,3,Harden
2009,1,4,Evans
2009,1,5,Rubio
2009,1,6,Flynn
2009,1,7,Curry
2009,1,8,Hill
2009,1,9,DeRozan
2009,1,10,Jennings
2009,1,11,Williams
2009,1,12,Henderson
2009,1,13,Hansbrough
2009,1,14,Clark
2009,1,15,Daye
2009,1,16,Johnson
2009,1,17,Holiday
2009,1,18,Lawson
2009,1,19,Teague
2009,1,20,Maynor
2009,1,21,Collison
2009,1,22,Claver
2009,1,23,Casspi
2009,1,24,Mullens
2009,1,25,Beaubois
2009,1,26,Gibson
2009,1,27,Carroll
2009,1,28,Ellington
2009,1,29,Douglas
2009,1,30,Eyenga
2009,2,31,Pendergraph
2009,2,32,Taylor
2009,2,33,Cunningham
2009,2,34,Llull
2009,2,35,Summers
2009,2,36,Young
2009,2,37,Blair
2009,2,38,Brockman
2009,2,39,Jerebko
2009,2,40,Brown
2009,2,41,Meeks
2009,2,42,Beverley
2009,2,43,Thornton
2009,2,44,Budinger
2009,2,45,Calathes
2009,2,46,Green
2009,2,47,Norel
2009,2,48,Griffin
2009,2,49,Gladyr
2009,2,50,Suton
2009,2,51,McClinton
2009,2,52,Price
2009,2,53,de
2009,2,54,Vaden
2009,2,55,Mills
2009,2,56,Nivins
2009,2,57,Preld_i_
2009,2,58,Hudson
2009,2,59,Elonu
2009,2,60,Dozier
2010,1,1,Wall
2010,1,2,Turner
2010,1,3,Favors
2010,1,4,Johnson
2010,1,5,Cousins
2010,1,6,Udoh
2010,1,7,Monroe
2010,1,8,Aminu
2010,1,9,Hayward
2010,1,10,George
2010,1,11,Aldrich
2010,1,12,Henry
2010,1,13,Davis
2010,1,14,Patterson
2010,1,15,Sanders
2010,1,16,Babbitt
2010,1,17,Séraphin
2010,1,18,Bledsoe
2010,1,19,Bradley
2010,1,20,Anderson
2010,1,21,Brackins
2010,1,22,Williams
2010,1,23,Booker
2010,1,24,James
2010,1,25,Jones
2010,1,26,Pondexter
2010,1,27,Crawford
2010,1,28,Vásquez
2010,1,29,Orton
2010,1,30,Hayward
2010,2,31,Pleiß
2010,2,32,Pittman
2010,2,33,Whiteside
2010,2,34,Johnson
2010,2,35,Bjelica
2010,2,36,White
2010,2,37,Hobson
2010,2,38,Rautins
2010,2,39,Fields
2010,2,40,Stephenson
2010,2,41,Varnado
2010,2,42,Butler
2010,2,43,Ebanks
2010,2,44,Jordan
2010,2,45,Prestes
2010,2,46,Lawal
2010,2,47,Gallon
2010,2,48,Williams
2010,2,49,Richards
2010,2,50,Alabi
2010,2,51,Rolle
2010,2,52,Harangody
2010,2,53,Sy
2010,2,54,Warren
2010,2,55,Evans
2010,2,56,Ndiaye
2010,2,57,Reid
2010,2,58,Caracter
2010,2,59,Robinson
2010,2,60,Collins
2011,1,1,Irving
2011,1,2,Williams
2011,1,3,Kanter
2011,1,4,Thompson
2011,1,5,Valan_i_nas
2011,1,6,Vesel_
2011,1,7,Biyombo
2011,1,8,Knight
2011,1,9,Walker
2011,1,10,Fredette
2011,1,11,Thompson
2011,1,12,Burks
2011,1,13,Morris
2011,1,14,Morris
2011,1,15,Leonard
2011,1,16,Vu_evi_
2011,1,17,Shumpert
2011,1,18,Singleton
2011,1,19,Harris
2011,1,20,Motiej_nas
2011,1,21,Smith
2011,1,22,Faried
2011,1,23,Miroti_
2011,1,24,Jackson
2011,1,25,Brooks
2011,1,26,Hamilton
2011,1,27,Johnson
2011,1,28,Cole
2011,1,29,Joseph
2011,1,30,Butler
2011,2,31,Bogdanovi_
2011,2,32,Harper
2011,2,33,Singler
2011,2,34,Mack
2011,2,35,Honeycutt
2011,2,36,Williams
2011,2,37,Thompkins
2011,2,38,Parsons
2011,2,39,Tyler
2011,2,40,Leuer
2011,2,41,Morris
2011,2,42,Bert_ns
2011,2,43,Lee
2011,2,44,Jenkins
2011,2,45,Harrellson
2011,2,46,Goudelock
2011,2,47,Leslie
2011,2,48,Benson
2011,2,49,Selby
2011,2,50,Allen
2011,2,51,Diebler
2011,2,52,Macklin
2011,2,53,Liggins
2011,2,54,Macvan
2011,2,55,Moore
2011,2,56,Maduabum
2011,2,57,Ngombo
2011,2,58,Majok
2011,2,59,Hanga
2011,2,60,Thomas
2012,1,1,Davis
2012,1,2,Kidd-Gilchrist
2012,1,3,Beal
2012,1,4,Waiters
2012,1,5,Robinson
2012,1,6,Lillard
2012,1,7,Barnes
2012,1,8,Ross
2012,1,9,Drummond
2012,1,10,Rivers
2012,1,11,Leonard
2012,1,12,Lamb
2012,1,13,Marshall
2012,1,14,Henson
2012,1,15,Harkless
2012,1,16,White
2012,1,17,Zeller
2012,1,18,Jones
2012,1,19,Nicholson
2012,1,20,Fournier
2012,1,21,Sullinger
2012,1,22,Melo
2012,1,23,Jenkins
2012,1,24,Cunningham
2012,1,25,Wroten
2012,1,26,Plumlee
2012,1,27,Moultrie
2012,1,28,Jones
2012,1,29,Teague
2012,1,30,Ezeli
2012,2,31,Taylor
2012,2,32,Satoransk_
2012,2,33,James
2012,2,34,Crowder
2012,2,35,Green
2012,2,36,Johnson
2012,2,37,Acy
2012,2,38,Miller
2012,2,39,Middleton
2012,2,40,Barton
2012,2,41,Taylor
2012,2,42,Lamb
2012,2,43,Scott
2012,2,44,English
2012,2,45,Hamilton
2012,2,46,Miller
2012,2,47,Murphy
2012,2,48,Papanikolaou
2012,2,49,O'Quinn
2012,2,50,Turkyilmaz
2012,2,51,Joseph
2012,2,52,Kuzmi_
2012,2,53,Aldemir
2012,2,54,Shengelia
2012,2,55,Johnson-Odom
2012,2,56,Zub_i_
2012,2,57,Karaman
2012,2,58,Hummel
2012,2,59,Denmon
2012,2,60,Sacre
2013,1,1,Bennett
2013,1,2,Oladipo
2013,1,3,Porter
2013,1,4,Zeller
2013,1,5,Len
2013,1,6,Noel
2013,1,7,McLemore
2013,1,8,Caldwell-Pope
2013,1,9,Burke
2013,1,10,McCollum
2013,1,11,Carter-Williams
2013,1,12,Adams
2013,1,13,Olynyk
2013,1,14,Muhammad
2013,1,15,Antetokounmpo
2013,1,16,Nogueira
2013,1,17,Schröder
2013,1,18,Larkin
2013,1,19,Karasev
2013,1,20,Snell
2013,1,21,Dieng
2013,1,22,Plumlee
2013,1,23,Hill
2013,1,24,Hardaway
2013,1,25,Bullock
2013,1,26,Roberson
2013,1,27,Gobert
2013,1,28,Jean-Charles
2013,1,29,Goodwin
2013,1,30,Nedovi_
2013,2,31,Crabbe
2013,2,32,Abrines
2013,2,33,Felix
2013,2,34,Canaan
2013,2,35,Rice
2013,2,36,McCallum
2013,2,37,Mitchell
2013,2,38,Wolters
2013,2,39,Withey
2013,2,40,Jerrett
2013,2,41,Franklin
2013,2,42,Jackson
2013,2,43,Ledo
2013,2,44,Muscala
2013,2,45,Todorovi_
2013,2,46,Green
2013,2,47,Neto
2013,2,48,Kelly
2013,2,49,Murphy
2013,2,50,Ennis
2013,2,51,Osby
2013,2,52,Brown
2013,2,53,Iverson
2013,2,54,Kazemi
2013,2,55,Lauvergne
2013,2,56,Siva
2013,2,57,Oriakhi
2013,2,58,Thomas
2013,2,59,Dubljevi_
2013,2,60,Timma
2014,1,1,Wiggins
2014,1,2,Parker
2014,1,3,Embiid
2014,1,4,Gordon
2014,1,5,Exum
2014,1,6,Smart
2014,1,7,Randle
2014,1,8,Stauskas
2014,1,9,Vonleh
2014,1,10,Payton
2014,1,11,McDermott
2014,1,12,Saric
2014,1,13,LaVine
2014,1,14,Warren
2014,1,15,Payne
2014,1,16,Nurki_
2014,1,17,Young
2014,1,18,Ennis
2014,1,19,Harris
2014,1,20,Caboclo
2014,1,21,McGary
2014,1,22,Adams
2014,1,23,Hood
2014,1,24,Napier
2014,1,25,Capela
2014,1,26,Hairston
2014,1,27,Bogdanovi_
2014,1,28,Wilcox
2014,1,29,Huestis
2014,1,30,Anderson
2014,2,31,Inglis
2014,2,32,McDaniels
2014,2,33,Harris
2014,2,34,Early
2014,2,35,Stokes
2014,2,36,O'Bryant
2014,2,37,Daniels
2014,2,38,Dinwiddie
2014,2,39,Grant
2014,2,40,Robinson
2014,2,41,Joki_
2014,2,42,Johnson
2014,2,43,Tavares
2014,2,44,Brown
2014,2,45,Powell
2014,2,46,Clarkson
2014,2,47,Smith
2014,2,48,Patterson
2014,2,49,Bairstow
2014,2,50,Brown
2014,2,51,Antetokounmpo
2014,2,52,Mici_
2014,2,53,Gentile
2014,2,54,Dangubi_
2014,2,55,Christon
2014,2,56,Marble
2014,2,57,Labeyrie
2014,2,58,McRae
2014,2,59,Thames
2014,2,60,Jefferson
2015,1,1,Towns
2015,1,2,Russell
2015,1,3,Okafor
2015,1,4,Porzi__is
2015,1,5,Hezonja
2015,1,6,Cauley-Stein
2015,1,7,Mudiay
2015,1,8,Johnson
2015,1,9,Kaminsky
2015,1,10,Winslow
2015,1,11,Turner
2015,1,12,Lyles
2015,1,13,Booker
2015,1,14,Payne
2015,1,15,Oubre
2015,1,16,Rozier
2015,1,17,Vaughn
2015,1,18,Dekker
2015,1,19,Grant
2015,1,20,Wright
2015,1,21,Anderson
2015,1,22,Portis
2015,1,23,Hollis-Jefferson
2015,1,24,Jones
2015,1,25,Martin
2015,1,26,Milutinov
2015,1,27,Nance
2015,1,28,Hunter
2015,1,29,McCullough
2015,1,30,Looney
2015,2,31,Osman
2015,2,32,Harrell
2015,2,33,Mickey
2015,2,34,Brown
2015,2,35,Hernangómez
2015,2,36,Christmas
2015,2,37,Holmes
2015,2,38,Hilliard
2015,2,39,Vaulet
2015,2,40,Richardson
2015,2,41,Connaughton
2015,2,42,Hanlan
2015,2,43,Young
2015,2,44,Harrison
2015,2,45,Thornton
2015,2,46,Powell
2015,2,47,Gudaitis
2015,2,48,Johnson
2015,2,49,White
2015,2,50,Eriksson
2015,2,51,Harvey
2015,2,52,Bhamara
2015,2,53,Pointer
2015,2,54,Díez
2015,2,55,Lalanne
2015,2,56,Dawson
2015,2,57,Radi_evi_
2015,2,58,Tokoto
2015,2,59,Agravanis
2015,2,60,Mitrovi_
2016,1,1,Simmons
2016,1,2,Ingram
2016,1,3,Brown
2016,1,4,Bender
2016,1,5,Dunn
2016,1,6,Hield
2016,1,7,Murray
2016,1,8,Chriss
2016,1,9,Poeltl
2016,1,10,Maker
2016,1,11,Sabonis
2016,1,12,Prince
2016,1,13,Papagiannis
2016,1,14,Valentine
2016,1,15,Hernangómez
2016,1,16,Yabusele
2016,1,17,Baldwin
2016,1,18,Ellenson
2016,1,19,Beasley
2016,1,20,LeVert
2016,1,21,Bembry
2016,1,22,Richardson
2016,1,23,_i_i_
2016,1,24,Luwawu-Cabarrot
2016,1,25,Johnson
2016,1,26,Korkmaz
2016,1,27,Siakam
2016,1,28,Labissière
2016,1,29,Murray
2016,1,30,Jones
2016,2,31,Davis
2016,2,32,Zubac
2016,2,33,Diallo
2016,2,34,Ulis
2016,2,35,Zagorac
2016,2,36,Brogdon
2016,2,37,Onuaku
2016,2,38,McCaw
2016,2,39,Michineau
2016,2,40,Stone
2016,2,41,Zimmerman
2016,2,42,Whitehead
2016,2,43,Zhou
2016,2,44,Cordinier
2016,2,45,Jackson
2016,2,46,Hammons
2016,2,47,Layman
2016,2,48,Zipser
2016,2,49,Gbinije
2016,2,50,Niang
2016,2,51,Bentil
2016,2,52,Bolomboy
2016,2,53,Cornelie
2016,2,54,Felder
2016,2,55,Paige
2016,2,56,Hamilton
2016,2,57,Wang
2016,2,58,Nader
2016,2,59,Cousins
2016,2,60,Wallace
2017,1,1,Fultz
2017,1,2,Ball
2017,1,3,Tatum
2017,1,4,Jackson
2017,1,5,Fox
2017,1,6,Isaac
2017,1,7,Markkanen
2017,1,8,Ntilikina
2017,1,9,Smith
2017,1,10,Collins
2017,1,11,Monk
2017,1,12,Kennard
2017,1,13,Mitchell
2017,1,14,Adebayo
2017,1,15,Jackson
2017,1,16,Patton
2017,1,17,Wilson
2017,1,18,Leaf
2017,1,19,Collins
2017,1,20,Giles
2017,1,21,Ferguson
2017,1,22,Allen
2017,1,23,Anunoby
2017,1,24,Lydon
2017,1,25,Pase__iks
2017,1,26,Swanigan
2017,1,27,Kuzma
2017,1,28,Bradley
2017,1,29,White
2017,1,30,Hart
2017,2,31,Jackson
2017,2,32,Reed
2017,2,33,Iwundu
2017,2,34,Mason
2017,2,35,Rabb
2017,2,36,Bolden
2017,2,37,Ojeleye
2017,2,38,Bell
2017,2,39,Evans
2017,2,40,Bacon
2017,2,41,Dorsey
2017,2,42,Bryant
2017,2,43,Hartenstein
2017,2,44,Dotson
2017,2,45,Brooks
2017,2,46,Brown
2017,2,47,Anigbogu
2017,2,48,Thornwell
2017,2,49,_an_ar
2017,2,50,Lessort
2017,2,51,Morris
2017,2,52,Sumner
2017,2,53,Allen
2017,2,54,Peters
2017,2,55,Williams-Goss
2017,2,56,Bird
2017,2,57,Vezenkov
2017,2,58,Jaramaz
2017,2,59,Blossomgame
2017,2,60,Kaba
2018,1,1,Ayton
2018,1,2,Jackson
2018,1,3,Porter
2018,1,4,Bagley
2018,1,5,Doncic
2018,1,6,Carter
2018,1,7,Young
2018,1,8,Bamba
2018,1,9,Sexton
2018,1,10,Knox
2018,1,11,Bridges
2018,1,12,Bridges
2018,1,13,Gilgeous-Al...
2018,1,14,Williams
2018,1,15,Trent
2018,1,16,Walker
2018,1,17,Musa
2018,1,18,Diallo
2018,1,19,Thomas
2018,1,20,Robinson
2018,1,21,Duval
2018,1,22,Allen
2018,1,23,Metu
2018,1,24,Shamet
2018,1,25,McCoy
2018,1,26,Brown
2018,1,27,Yurtseven
2018,1,28,Wiley
2018,1,29,Carr
2018,1,30,Wagner
2018,2,31,Kurucs
2018,2,32,Brown
2018,2,33,Roach
2018,2,34,Bonga
2018,2,35,Franks
2018,2,36,Hutchison
2018,2,37,Williams
2018,2,38,Bates-Diop
2018,2,39,Johnson
2018,2,40,Holiday
2018,2,41,Mykha
2018,2,42,Adams
2018,2,43,Hervey
2018,2,44,Trier
2018,2,45,Evans
2018,2,46,Milton
2018,2,47,Bitadze
2018,2,48,Brunson
2018,2,49,Wilder
2018,2,50,Alkins
2018,2,51,Hudson
2018,2,52,Graham
2018,2,53,Kulboka
2018,2,54,Frazier
2018,2,55,Berry
2018,2,56,Evans
2018,2,57,Carter
2018,2,58,Simanic
2018,2,59,Colson
2018,2,60,Stephens
